OrganizationName,Brooklyn,Bronx,Manhattan,Queens,Staten Island,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Business,Child Care & Parent Information,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Domestic Violence,Education,Employment & Job Training,Health,Homelessness,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Personal Finance & Financial Education,Professional Association,Veterans & Military Families,Victim Services,Youth Services,Faith-based organization,New York City Agency,Nonprofit,City
Builders for Family and Youth / Catholic Charities,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Woodside
VISIONS at Selis Manor,N,N,Y,N,N,Y,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,Y,N,N,Y,New York
Hour Children,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Long Island City
"Brooklyn AIDS Task Force,  Inc",Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Brooklyn
Safe Horizon Brooklyn Community Programs,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Brooklyn
Comunilife Inc,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,New York
Girls for Gender Equity,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,Brooklyn
"IMANI HOUSE, Inc.",Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
God's Love We Deliver,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Citizens Advice Bureau,N,Y,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Bronx
American Cancer Society Bronx Region,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Bronx
Lutheran Family Health Centers,Y,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,Brooklyn
Turning Point,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,Y,flushing
"Immigrant Social Services, Inc.",N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,New York
"Church Women United, Inc.",Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Morris Heights Health Center,N,Y,N,N,N,Y,N,N,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Bronx
The Girls & Boys Projects,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,New York
Center for Children's Initiatives,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Program for Deaf Adults at LaGuardia Community College,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Long Island City
New Life Community Development Corp.,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Elmhurst
National Council on Women's Health,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,New York
The American Cancer Society -- Manhattan,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,New York
Concerned Citizens of Queens (Ciudadanos Conscientes de Queens),N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Elmhurst
Centro Civico Colombiano,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Elmhurst
Korean Community Services of Metropolitan New York,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Flushing
Women's Housing and Economic Development Corporation,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,Y,Bronx
"Community League of the Heights, Inc",N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,Y,New York
Goddard-Riverside Community Center,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Empire State Pride Agenda,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,New York
"Associated Beth Rivkah Schools, Inc",Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
Museum of Modern Art,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
St. John's University,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Jamaica
Social Securty Administration,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,New York
Project Enterprise (Harlem & The Bronx),Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
"Sesame Flyers International, Inc.",Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,Brooklyn
Fortune Society,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,New York
South Asian Council for Social Services (SACSS),N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Flushing
Mental Health Association of New York City,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
American Foundation for AIDS Research (amfAR),N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Women's Sports Foundation,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,East Meadow
"Japanese American Social Services, Inc. (JASSI)",N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,New York
Church of the Holy Apostles,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,New York
"Stanley M. Isaacs Neighborhood Center, Inc.",N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,New York
Agency for Women and Children Development Inc,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Recreational Inner-City Sports & Education (RISE),N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Jamaica
"Mirabal Sisters Cultural and Community Center, Inc.",N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,Y,New York
Partnership for After School Education (PASE),N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,New York
"Small Business Development Center, Baruch College",N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
New York Armenian Home,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Flushing
American Woman's Economic Development Corporation,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,New York
St. Nicholas Neighborhood Preservation Corporation,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
Bramson ORT Technical Institute,Y,N,N,Y,N,N,N,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,Y,Forest Hills
Voces Latinas,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Woodside
Ceres Gallery,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
"Alianza Dominicana, Inc.",N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
American Lung Association of City of New York,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Asian American Business Development Center,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Families Anonymous,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Hollis
Asian American Writers' Workshop,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,New York
The New York Women's Foundation,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,Y,New York
City Harvest,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Human Rights Watch,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
St Francis Xavier Youth Program,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Brooklyn
"Reserve Elder Service, Inc",Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
National Eating Disorders Association,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Kurdish Library,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
Archdiocesan Catholic Guild for the Blind,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Reach to Recovery/American Cancer Society,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Staten Island
East Harlem Tutorial Program,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,New York
ARC XVI Fort Washington Inc.,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Parents and Friends of Lesbians and Gays-New York City (PFLAG-NYC),N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,New York
Sexual Assault and Violence Intervention (SAVI) Program,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,New York
Association for Neurologically Impaired and Brain Injured Children,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Oakland Gardens
"Adolescent and Family Comprehensive Services, Inc.",N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Bronx
East River Development Alliance,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,Y,Long Island City
Brooklyn Center for Independence of the Disabled,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
Advocates for Children of New York,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,New York
Queens Legal Services Corporation - Disability Advocacy Project,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,Long Island City
Postgraduate Center for Mental Health,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
South Queens Boys & Girls Club,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,S. Richmond Hill
American Friends Service Committee - Conflict Resolution Program,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Centers for Progress,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Jamaica
Allen AME Preservation & Development Corporation,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Jamaica
Support Center for Nonprofit Management,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
All My Children Day Care Center,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Jamaica
"Police Athletic League, Inc.",N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,New York
National Association of Women Artists,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,New York
National Alliance for the Mentally Ill,Y,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Lake Success
Association for the Help of Retarded Children,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
South Jamaica Center for Children and Parents,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Jamaica
Bronx HIV Care Network,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Bronx
International League for Human Rights,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
"Project Reach Youth, Inc.",Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Brooklyn
Barrier Free Living,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,New York
HELP USA,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,Y,New York
Young Survival Coalition,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Women's Enterprise Development Center,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,White Plains
Osborne Association: Fresh Start,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,Y,Brooklyn
92nd Street YM-YMHA,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,New York
"Dream Yard Drama Project, Inc.",N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Bronx
Advertising Women of New York,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,New York
Bridge Street Development Corporation,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,Brooklyn
St. John’s Bread and Life,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
A Better Balance,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,New York
Ronald McDonald House,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,New York
Crystal Quilt,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,New York
Housing Works,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
New York Foundation for Senior Citizens,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,New York
Policewomen's Endowment Association,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Brooklyn
St. Raymond Community Outreach,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Bronx
Cornell Cooperative Extension,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Rockaway Development & Revitalization Corporation,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Far Rockaway
Associated Blind,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Queers For Economic Justice,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,New York
Chinese American Planning Council,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,New York
National Development and Research Institute,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Jamaica
Ackerman Institute for the Family,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
American Lyme Disease Foundation,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Lyme
Pratt Institute Center for Community Development (PICCED),Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
"Center for Battered Women's Legal Services, Sanctuary for Families",Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,New York
Domestic and Other Violent Emergencies Program (DOVE),N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,New York
"Partnership with Children, Inc.",N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,New York
Disabled and Alone Life Services for the Handicapped,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Korean Youth Center of New York,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Flushing
"Centro Hispano ""Cuzcatlan""",N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,Jamaica
Lilith Magazine,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
School Settlement Associaton,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
Alternatives to Violence Project,Y,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Kings Ferry
"Ralph Lincoln Service Center, Inc.",Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Brooklyn
Sista II Sista,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
Odyssey House of New York,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,Y,New York
St Rosalia Regina Pacis NIA Youth Program,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Brooklyn
Griot Circle,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Brooklyn
Research Foundation of CUNY,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Asian American Legal Defense and Education Fund,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,New York
AMIT,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Bottomless Closet,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,New York
Afrikan Poetry Theatre Inc.,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Jamaica
"African Ancestral Lesbians United for Societal Change, Inc.",Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,New York
National Association of Women Business Owners,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,New York
Asian Professional Extension,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,New York
Service Fund of NOW-NY,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,New York
Callen Lorde Community Health Center,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,Y,New York
Chinese American Parents Association,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Flushing
"Arthur Ashe Institute for Urban Health, Inc",Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
New York Public Library: Andrew Heiskell Library for the Blind and Physically Handicapped,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
American Family Community Services,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Jackson Heights
American Society of Women Accountants,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,New York
Chinese Christian Herald Crusades,N,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,Flushing
Dwa Fanm,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Brooklyn
"Southeast Bronx Neighborhood Center, Inc. (SEBNC)",N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Bronx
Quality Services for the Autism Community,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Astoria
"Regional Aid For Interim Needs, Inc.(R.A.I.N.)",N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Bronx
Sister Fund,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
AIDS Community Research Initiative of America,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Huntington's Disease Society of America,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
FACES NY,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
"Bushwick Community Action Association, Inc.",Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
Center for Urban Community Services (CUCS),N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
American Red Cross,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
sue rock originals EVERYONE,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
Arms Acres,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Kew Gardens
Tender Care Human Services,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Bellerose
Asian American Arts Alliance,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
